<date>,<open>,<high>,<low>,<close>,<vol>
10.13.2008,2.4432030716287256580989795996750149197,2.4432030716287256580989795996750149197,2.4432030716287256580989795996750149197,2.4432030716287256580989795996750149197,516737758.1,
10.14.2008,2.7553007340990879276860108948586149238,2.7553007340990879276860108948586149238,2.7553007340990879276860108948586149238,2.7553007340990879276860108948586149238,520380648.5,
10.15.2008,2.7182517656334750080255299438070224927,2.7182517656334750080255299438070224927,2.7182517656334750080255299438070224927,2.7182517656334750080255299438070224927,551456917.71,
10.16.2008,1.8135667541288368998281926131481229157,1.8135667541288368998281926131481229157,1.8135667541288368998281926131481229157,1.8135667541288368998281926131481229157,516936846.63,
10.17.2008,4.8978979439115423462584122029523083714,4.8978979439115423462584122029523083714,4.8978979439115423462584122029523083714,4.8978979439115423462584122029523083714,212399913.77,
10.20.2008,6.5664520485644020434402429908227828156,6.5664520485644020434402429908227828156,6.5664520485644020434402429908227828156,6.5664520485644020434402429908227828156,500835223.54,
10.21.2008,3.0645913294900014841707627452207898342,3.0645913294900014841707627452207898342,3.0645913294900014841707627452207898342,3.0645913294900014841707627452207898342,312291419.68,
10.22.2008,3.5668905319939433238211676722638426847,3.5668905319939433238211676722638426847,3.5668905319939433238211676722638426847,3.5668905319939433238211676722638426847,284022217.04,
10.23.2008,4.0804191522573392473311466442563654451,4.0804191522573392473311466442563654451,4.0804191522573392473311466442563654451,4.0804191522573392473311466442563654451,293723026.99,
10.24.2008,2.8991089871627063185310456731873051483,2.8991089871627063185310456731873051483,2.8991089871627063185310456731873051483,2.8991089871627063185310456731873051483,348138387.45,
10.28.2008,3.1987478069295008409306696170775764193,3.1987478069295008409306696170775764193,3.1987478069295008409306696170775764193,3.1987478069295008409306696170775764193,389359259.64,
10.29.2008,4.7029054232372233815586650509091688556,4.7029054232372233815586650509091688556,4.7029054232372233815586650509091688556,4.7029054232372233815586650509091688556,409456882.89,
10.30.2008,4.400416560144193206859408773258918724,4.400416560144193206859408773258918724,4.400416560144193206859408773258918724,4.400416560144193206859408773258918724,466881158.02,
10.31.2008,3.2993141434868345740986696152577048046,3.2993141434868345740986696152577048046,3.2993141434868345740986696152577048046,3.2993141434868345740986696152577048046,399466147.73,
11.03.2008,1.8947068674605356390191540503787475615,1.8947068674605356390191540503787475615,1.8947068674605356390191540503787475615,1.8947068674605356390191540503787475615,451092452.81,
11.04.2008,2.2014970166905219567856921805422679907,2.2014970166905219567856921805422679907,2.2014970166905219567856921805422679907,2.2014970166905219567856921805422679907,423853833.78,
11.05.2008,3.5634936553466300755937326603610724241,3.5634936553466300755937326603610724241,3.5634936553466300755937326603610724241,3.5634936553466300755937326603610724241,440782378.12,
11.06.2008,5.2641937917883016035903159151899058751,5.2641937917883016035903159151899058751,5.2641937917883016035903159151899058751,5.2641937917883016035903159151899058751,365559543.61,
11.07.2008,4.7498020124846969995732129573009511737,4.7498020124846969995732129573009511737,4.7498020124846969995732129573009511737,4.7498020124846969995732129573009511737,314883079.41,
11.10.2008,4.2844130431335859194192434204998555372,4.2844130431335859194192434204998555372,4.2844130431335859194192434204998555372,4.2844130431335859194192434204998555372,410525746.61,
11.11.2008,3.5747979339478594786034719312362495724,3.5747979339478594786034719312362495724,3.5747979339478594786034719312362495724,3.5747979339478594786034719312362495724,377391955.16,
11.12.2008,2.4900716006819515869223858683333448209,2.4900716006819515869223858683333448209,2.4900716006819515869223858683333448209,2.4900716006819515869223858683333448209,308688217.97,
11.13.2008,3.2349660909346898150548538468825417464,3.2349660909346898150548538468825417464,3.2349660909346898150548538468825417464,3.2349660909346898150548538468825417464,220802652.63,
11.14.2008,6.9856739117186422801556860562881185346,6.9856739117186422801556860562881185346,6.9856739117186422801556860562881185346,6.9856739117186422801556860562881185346,365121345.6,
11.17.2008,9.8838427207134091831677999906112512573,9.8838427207134091831677999906112512573,9.8838427207134091831677999906112512573,9.8838427207134091831677999906112512573,317299685.74,
11.18.2008,6.9488393837520786449080442468332833562,6.9488393837520786449080442468332833562,6.9488393837520786449080442468332833562,6.9488393837520786449080442468332833562,334829590.18,
11.19.2008,4.3202334155568904705962392156947652541,4.3202334155568904705962392156947652541,4.3202334155568904705962392156947652541,4.3202334155568904705962392156947652541,319985182.16,
11.20.2008,7.297145735201209487587666641141998972,7.297145735201209487587666641141998972,7.297145735201209487587666641141998972,7.297145735201209487587666641141998972,424024933.17,
11.21.2008,11.230236346924788333070564827356051206,11.230236346924788333070564827356051206,11.230236346924788333070564827356051206,11.230236346924788333070564827356051206,547139339.76,
11.24.2008,10.058472356719619227931295298508856078,10.058472356719619227931295298508856078,10.058472356719619227931295298508856078,10.058472356719619227931295298508856078,501822762.62,
11.25.2008,8.2282430209597013320397148365028063823,8.2282430209597013320397148365028063823,8.2282430209597013320397148365028063823,8.2282430209597013320397148365028063823,364946847.2,
11.26.2008,8.4015778299299827990862688392966378605,8.4015778299299827990862688392966378605,8.4015778299299827990862688392966378605,8.4015778299299827990862688392966378605,367093703.27,
11.27.2008,2.6490711665294752844316112657719412064,2.6490711665294752844316112657719412064,2.6490711665294752844316112657719412064,2.6490711665294752844316112657719412064,343440106.39,
11.28.2008,2.3917031255448036449037368393143416638,2.3917031255448036449037368393143416638,2.3917031255448036449037368393143416638,2.3917031255448036449037368393143416638,247054545.26,
12.01.2008,5.9614751946640617484506384739461804388,5.9614751946640617484506384739461804388,5.9614751946640617484506384739461804388,5.9614751946640617484506384739461804388,404952012.3,
12.02.2008,9.5779234919345299886211844992058793176,9.5779234919345299886211844992058793176,9.5779234919345299886211844992058793176,9.5779234919345299886211844992058793176,392247850,
12.03.2008,9.128539025408734769322668983913577651,9.128539025408734769322668983913577651,9.128539025408734769322668983913577651,9.128539025408734769322668983913577651,466824697.17,
12.04.2008,8.2310421513896307184334469697118081114,8.2310421513896307184334469697118081114,8.2310421513896307184334469697118081114,8.2310421513896307184334469697118081114,297376702.5,
12.05.2008,6.7960499145109038163770402488582426048,6.7960499145109038163770402488582426048,6.7960499145109038163770402488582426048,6.7960499145109038163770402488582426048,476238207.05,
12.09.2008,5.3191717401963144287753815229752748419,5.3191717401963144287753815229752748419,5.3191717401963144287753815229752748419,5.3191717401963144287753815229752748419,428736577.14,
12.10.2008,3.8803226212845765095729901053781055222,3.8803226212845765095729901053781055222,3.8803226212845765095729901053781055222,3.8803226212845765095729901053781055222,501760185.76,
12.11.2008,7.6834091526297946662560504165927985334,7.6834091526297946662560504165927985334,7.6834091526297946662560504165927985334,7.6834091526297946662560504165927985334,485428639.32,
12.12.2008,4.3034107079221177228327920536671349022,4.3034107079221177228327920536671349022,4.3034107079221177228327920536671349022,4.3034107079221177228327920536671349022,262854909.2,
12.15.2008,2.6592125291955750654981415678828562386,2.6592125291955750654981415678828562386,2.6592125291955750654981415678828562386,2.6592125291955750654981415678828562386,200074785.51,
12.18.2008,6.8321617372623463727787748905840976322,6.8321617372623463727787748905840976322,6.8321617372623463727787748905840976322,6.8321617372623463727787748905840976322,279958775.14,
12.19.2008,10.358367590245972249029848893413158896,10.358367590245972249029848893413158896,10.358367590245972249029848893413158896,10.358367590245972249029848893413158896,327608627.07,
12.22.2008,11.403147396401364521353157109258023166,11.403147396401364521353157109258023166,11.403147396401364521353157109258023166,11.403147396401364521353157109258023166,476206411.16,
12.23.2008,7.2710214913062356949182651061490142973,7.2710214913062356949182651061490142973,7.2710214913062356949182651061490142973,7.2710214913062356949182651061490142973,447790392.1,
12.24.2008,2.3127895258094324932515496866130020971,2.3127895258094324932515496866130020971,2.3127895258094324932515496866130020971,2.3127895258094324932515496866130020971,339768332.16,
12.25.2008,1.9711870221477108185625418021275905045,1.9711870221477108185625418021275905045,1.9711870221477108185625418021275905045,1.9711870221477108185625418021275905045,405020961.49,
12.26.2008,2.7448910552183280682802545916053833055,2.7448910552183280682802545916053833055,2.7448910552183280682802545916053833055,2.7448910552183280682802545916053833055,268827439.02,
12.29.2008,6.739393146288777117188410851616819851,6.739393146288777117188410851616819851,6.739393146288777117188410851616819851,6.739393146288777117188410851616819851,273449600.37,
12.30.2008,8.213400706643061643212683248645276428,8.213400706643061643212683248645276428,8.213400706643061643212683248645276428,8.213400706643061643212683248645276428,230048998.97,
12.31.2008,8.214666620064136336605133390391052022,8.214666620064136336605133390391052022,8.214666620064136336605133390391052022,8.214666620064136336605133390391052022,132908467.79,
01.05.2009,8.6605691240310603695034192066114653178,8.6605691240310603695034192066114653178,8.6605691240310603695034192066114653178,8.6605691240310603695034192066114653178,282202751.5,
01.06.2009,6.9240521440362403343245107015305937657,6.9240521440362403343245107015305937657,6.9240521440362403343245107015305937657,6.9240521440362403343245107015305937657,372319409.24,
01.08.2009,10.157231538493030276861590989715983234,10.157231538493030276861590989715983234,10.157231538493030276861590989715983234,10.157231538493030276861590989715983234,240937471.66,
01.09.2009,7.2474928817905758132806678505514404143,7.2474928817905758132806678505514404143,7.2474928817905758132806678505514404143,7.2474928817905758132806678505514404143,112281175.97,
01.12.2009,5.9170117970265651165491537633316082224,5.9170117970265651165491537633316082224,5.9170117970265651165491537633316082224,5.9170117970265651165491537633316082224,222414347.25,
01.13.2009,6.2356796196886248812647184369705012131,6.2356796196886248812647184369705012131,6.2356796196886248812647184369705012131,6.2356796196886248812647184369705012131,178718990.98,
01.14.2009,6.9924909679687931192597607720268229516,6.9924909679687931192597607720268229516,6.9924909679687931192597607720268229516,6.9924909679687931192597607720268229516,261446713.8,
01.15.2009,9.8693662995769372463708115870988963045,9.8693662995769372463708115870988963045,9.8693662995769372463708115870988963045,9.8693662995769372463708115870988963045,240372756.29,
01.16.2009,10.123494718345453350578792164278963243,10.123494718345453350578792164278963243,10.123494718345453350578792164278963243,10.123494718345453350578792164278963243,202687475.05,
01.19.2009,11.026258536421718590560525965279614566,11.026258536421718590560525965279614566,11.026258536421718590560525965279614566,11.026258536421718590560525965279614566,190180744.42,
01.20.2009,13.659021957950079562909047817887264266,13.659021957950079562909047817887264266,13.659021957950079562909047817887264266,13.659021957950079562909047817887264266,216133763.68,
01.21.2009,15.329402508815231267647036875897208176,15.329402508815231267647036875897208176,15.329402508815231267647036875897208176,15.329402508815231267647036875897208176,157027678.27,
01.22.2009,12.540488311263527318880957007136478578,12.540488311263527318880957007136478578,12.540488311263527318880957007136478578,12.540488311263527318880957007136478578,200255860.04,
01.23.2009,15.311768696169959897324447559233914621,15.311768696169959897324447559233914621,15.311768696169959897324447559233914621,15.311768696169959897324447559233914621,200888419.63,
01.26.2009,12.519760835936329117919283816210943065,12.519760835936329117919283816210943065,12.519760835936329117919283816210943065,12.519760835936329117919283816210943065,203378849.74,
01.27.2009,11.482655593683174424584900451012098284,11.482655593683174424584900451012098284,11.482655593683174424584900451012098284,11.482655593683174424584900451012098284,187937855.99,
01.28.2009,17.179004988569127638097160613068966978,17.179004988569127638097160613068966978,17.179004988569127638097160613068966978,17.179004988569127638097160613068966978,218314406.36,
01.29.2009,14.575535461327593761586266137041167398,14.575535461327593761586266137041167398,14.575535461327593761586266137041167398,14.575535461327593761586266137041167398,129878481.92,
01.30.2009,12.565637377386224652280346373176920603,12.565637377386224652280346373176920603,12.565637377386224652280346373176920603,12.565637377386224652280346373176920603,133646338.67,
02.02.2009,10.19733841277762654241688699206609608,10.19733841277762654241688699206609608,10.19733841277762654241688699206609608,10.19733841277762654241688699206609608,81468805.54,
02.03.2009,11.857978599961240447116760847279139635,11.857978599961240447116760847279139635,11.857978599961240447116760847279139635,11.857978599961240447116760847279139635,200057515.36,
02.04.2009,19.818835870472224704712705022748931502,19.818835870472224704712705022748931502,19.818835870472224704712705022748931502,19.818835870472224704712705022748931502,81643413.17,
02.05.2009,8.9433463697267658672288582750286792937,8.9433463697267658672288582750286792937,8.9433463697267658672288582750286792937,8.9433463697267658672288582750286792937,88491168.7,
02.06.2009,7.0130305678047188780951363598503400384,7.0130305678047188780951363598503400384,7.0130305678047188780951363598503400384,7.0130305678047188780951363598503400384,134151501.83,
02.09.2009,4.8464162217946525341035480991966656259,4.8464162217946525341035480991966656259,4.8464162217946525341035480991966656259,4.8464162217946525341035480991966656259,167315028.52,
02.10.2009,2.4578028112890469414468324177951632714,2.4578028112890469414468324177951632714,2.4578028112890469414468324177951632714,2.4578028112890469414468324177951632714,132697430.69,
02.11.2009,5.0458332612154832849614720181908725275,5.0458332612154832849614720181908725275,5.0458332612154832849614720181908725275,5.0458332612154832849614720181908725275,234164039.79,
02.12.2009,4.9949037179618008993059823371780067206,4.9949037179618008993059823371780067206,4.9949037179618008993059823371780067206,4.9949037179618008993059823371780067206,165395420.66,
02.13.2009,7.2773248260882575625179744845546145355,7.2773248260882575625179744845546145355,7.2773248260882575625179744845546145355,7.2773248260882575625179744845546145355,229026395.79,
02.16.2009,6.3844201867293181613088473603556044088,6.3844201867293181613088473603556044088,6.3844201867293181613088473603556044088,6.3844201867293181613088473603556044088,197518769.27,
02.17.2009,6.5599411102237168406257415122147837296,6.5599411102237168406257415122147837296,6.5599411102237168406257415122147837296,6.5599411102237168406257415122147837296,258668378.71,
02.18.2009,11.371602932968570432654867066826684894,11.371602932968570432654867066826684894,11.371602932968570432654867066826684894,11.371602932968570432654867066826684894,239566467.78,
02.19.2009,8.9606184012723468123866806461864762668,8.9606184012723468123866806461864762668,8.9606184012723468123866806461864762668,8.9606184012723468123866806461864762668,215095434.62,
02.20.2009,2.9758211664003262231307687321134533382,2.9758211664003262231307687321134533382,2.9758211664003262231307687321134533382,2.9758211664003262231307687321134533382,115392458.97,
02.23.2009,1.9104445119614733366034031586291123233,1.9104445119614733366034031586291123233,1.9104445119614733366034031586291123233,1.9104445119614733366034031586291123233,133380095.9,
02.24.2009,2.0836366751171275025418991571408038307,2.0836366751171275025418991571408038307,2.0836366751171275025418991571408038307,2.0836366751171275025418991571408038307,203129505.33,
02.25.2009,2.2354081476249355023179377838369945469,2.2354081476249355023179377838369945469,2.2354081476249355023179377838369945469,2.2354081476249355023179377838369945469,202433511.11,
02.26.2009,3.4019554617824465257785158416216310485,3.4019554617824465257785158416216310485,3.4019554617824465257785158416216310485,3.4019554617824465257785158416216310485,126154811.1,
02.27.2009,2.6346074571978138791393971922758839083,2.6346074571978138791393971922758839083,2.6346074571978138791393971922758839083,2.6346074571978138791393971922758839083,137499386.11,
03.02.2009,1.795806360564385077007805771392770794,1.795806360564385077007805771392770794,1.795806360564385077007805771392770794,1.795806360564385077007805771392770794,135126315.07,
