<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
INDEX.CSI200;D;20130315;0;2959.2340000;3025.2620000;2928.5270000;2965.8090000;3113626300
INDEX.CSI200;D;20130318;0;2950.1620000;2973.8600000;2920.0500000;2922.6290000;2976546400
INDEX.CSI200;D;20130319;0;2933.5920000;2949.2460000;2901.4200000;2944.1680000;2342432000
INDEX.CSI200;D;20130320;0;2947.4560000;3026.9410000;2942.8340000;3026.9410000;4649616500
INDEX.CSI200;D;20130321;0;3027.0120000;3061.0540000;3025.1000000;3050.1980000;3531354100
INDEX.CSI200;D;20130322;0;3048.2130000;3059.9560000;3034.2680000;3051.8440000;2487730000
INDEX.CSI200;D;20130325;0;3068.8270000;3074.1280000;3035.7570000;3047.2050000;2484424000
INDEX.CSI200;D;20130326;0;3033.9670000;3043.1930000;2988.6830000;3022.3000000;3056875400
INDEX.CSI200;D;20130327;0;3022.3270000;3061.9360000;3016.3070000;3037.5430000;3170274700
INDEX.CSI200;D;20130328;0;3000.2820000;3000.2820000;2961.2480000;2961.2480000;3548685400
INDEX.CSI200;D;20130329;0;2971.1500000;2979.8200000;2949.0340000;2950.6230000;2609747000
INDEX.CSI200;D;20130401;0;2947.6440000;2975.6590000;2946.2990000;2961.9500000;3595848100
INDEX.CSI200;D;20130402;0;2965.6920000;2993.6010000;2928.2610000;2935.4270000;2821014100
INDEX.CSI200;D;20130403;0;2945.2210000;2954.0230000;2903.7510000;2913.6780000;1983298100
INDEX.CSI200;D;20130408;0;2867.2940000;2916.5850000;2855.3400000;2916.3050000;2942114500
INDEX.CSI200;D;20130409;0;2929.9810000;2954.5380000;2925.3400000;2938.0050000;4005240600
INDEX.CSI200;D;20130410;0;2937.6640000;2946.3720000;2904.8390000;2930.2010000;2894014800
INDEX.CSI200;D;20130411;0;2950.8150000;2953.8270000;2915.8720000;2918.7730000;2675577500
INDEX.CSI200;D;20130412;0;2915.4550000;2927.9130000;2894.3510000;2897.1310000;1898310000
INDEX.CSI200;D;20130415;0;2889.0550000;2890.1980000;2852.8940000;2859.2810000;2611934500
INDEX.CSI200;D;20130416;0;2836.3920000;2894.4780000;2836.2010000;2892.5190000;2895385400
INDEX.CSI200;D;20130417;0;2890.0990000;2910.5110000;2878.3410000;2908.0880000;3566618300
INDEX.CSI200;D;20130418;0;2888.8280000;2935.1620000;2882.3510000;2911.7120000;3152387300
INDEX.CSI200;D;20130419;0;2917.6010000;2988.5880000;2916.3390000;2977.7980000;4178741000
INDEX.CSI200;D;20130422;0;2969.8930000;2983.1540000;2963.5490000;2982.7620000;5139295700
INDEX.CSI200;D;20130423;0;2974.2570000;2974.2570000;2885.9640000;2887.8400000;4691713000
INDEX.CSI200;D;20130424;0;2896.6430000;2963.2120000;2888.5430000;2953.4050000;5387844800
INDEX.CSI200;D;20130425;0;2933.5460000;2967.5590000;2911.1450000;2912.7110000;3230630000
INDEX.CSI200;D;20130426;0;2931.5580000;2936.1070000;2873.7460000;2882.6300000;3073165400
INDEX.CSI200;D;20130502;0;2858.4120000;2897.9880000;2854.8690000;2891.3660000;2094396500
INDEX.CSI200;D;20130503;0;2905.7960000;2967.9580000;2905.6200000;2944.6910000;2844284000
INDEX.CSI200;D;20130506;0;2961.0210000;2996.3890000;2957.0270000;2990.2460000;3775696700
INDEX.CSI200;D;20130507;0;2979.4190000;3005.8060000;2967.5320000;2992.9730000;3205996300
INDEX.CSI200;D;20130508;0;3010.0890000;3025.3470000;2992.3680000;3013.6630000;3800623400
INDEX.CSI200;D;20130509;0;3010.6220000;3012.1340000;2970.5130000;3000.9480000;4100275900
INDEX.CSI200;D;20130510;0;2984.3390000;3020.0860000;2981.8650000;3012.3120000;3232926800
INDEX.CSI200;D;20130513;0;3016.5970000;3021.5200000;2988.8020000;3011.2840000;3928772600
INDEX.CSI200;D;20130514;0;3007.8820000;3007.8820000;2951.3270000;2971.3930000;2899050300
INDEX.CSI200;D;20130515;0;2970.5400000;2998.9380000;2968.5930000;2998.9380000;3239866900
INDEX.CSI200;D;20130516;0;2992.9650000;3057.2510000;2981.4770000;3057.2510000;5072668200
INDEX.CSI200;D;20130517;0;3052.7140000;3113.2270000;3051.2090000;3106.8630000;5100287300
INDEX.CSI200;D;20130520;0;3111.3440000;3134.2360000;3100.2570000;3118.6530000;6920310500
INDEX.CSI200;D;20130521;0;3116.8440000;3153.9810000;3116.6310000;3153.8150000;6556021000
INDEX.CSI200;D;20130522;0;3150.4290000;3175.9620000;3137.9310000;3154.3970000;6652913800
INDEX.CSI200;D;20130523;0;3135.3150000;3178.7180000;3123.6980000;3134.9350000;7764815500
INDEX.CSI200;D;20130524;0;3152.2670000;3169.8980000;3128.7510000;3167.2050000;5379432300
INDEX.CSI200;D;20130527;0;3164.6070000;3189.7490000;3162.0470000;3183.9220000;6222047500
INDEX.CSI200;D;20130528;0;3186.2670000;3213.4730000;3156.9710000;3212.2720000;7087427300
INDEX.CSI200;D;20130529;0;3219.0690000;3240.5390000;3217.2860000;3227.9720000;7232393600
INDEX.CSI200;D;20130530;0;3215.3820000;3232.4160000;3202.3880000;3218.4150000;6937551500
INDEX.CSI200;D;20130531;0;3222.9920000;3228.5630000;3170.0500000;3170.9670000;6440682800
INDEX.CSI200;D;20130603;0;3171.0480000;3202.4870000;3159.3390000;3169.5530000;4637125700
INDEX.CSI200;D;20130604;0;3162.2940000;3163.1790000;3087.2680000;3107.9810000;6863034200
INDEX.CSI200;D;20130605;0;3107.5520000;3122.9090000;3089.8410000;3116.3420000;4322923500
INDEX.CSI200;D;20130606;0;3103.3700000;3119.8760000;3070.4620000;3073.7240000;4991703300
INDEX.CSI200;D;20130607;0;3079.5540000;3092.7800000;3001.5250000;3016.2200000;5563182400
INDEX.CSI200;D;20130613;0;2961.1210000;2961.1210000;2874.0840000;2918.7170000;5195189400
INDEX.CSI200;D;20130614;0;2930.5480000;2968.3020000;2924.7990000;2963.4700000;4816093600
INDEX.CSI200;D;20130617;0;2972.1170000;2978.1610000;2936.1610000;2955.7240000;4220277400
INDEX.CSI200;D;20130618;0;2964.4270000;2974.0950000;2930.7290000;2969.4630000;4049294200
INDEX.CSI200;D;20130619;0;2949.9430000;2959.9590000;2904.6320000;2958.0620000;4583013300
INDEX.CSI200;D;20130620;0;2934.6010000;2939.3230000;2854.1470000;2855.5020000;4274994900
INDEX.CSI200;D;20130621;0;2798.2190000;2863.0160000;2783.7580000;2846.4390000;4002412700
INDEX.CSI200;D;20130624;0;2826.1490000;2826.1490000;2649.2190000;2668.1770000;5644132500
INDEX.CSI200;D;20130625;0;2622.3110000;2666.9720000;2467.4830000;2653.9660000;7212624900
INDEX.CSI200;D;20130626;0;2646.2870000;2695.5130000;2632.3020000;2695.2810000;5448149300
INDEX.CSI200;D;20130627;0;2703.9560000;2735.3480000;2659.1550000;2662.6070000;5470644200
INDEX.CSI200;D;20130628;0;2640.0220000;2735.2440000;2626.9630000;2687.3750000;5488167800
INDEX.CSI200;D;20130701;0;2667.1370000;2726.3570000;2658.8430000;2726.2880000;2712764100
INDEX.CSI200;D;20130702;0;2725.7700000;2764.1170000;2714.4960000;2763.6580000;2936463400
INDEX.CSI200;D;20130703;0;2750.0890000;2763.8200000;2704.2790000;2755.8990000;3118665200
