,,2,3
0,170,78.1530697515836,30011.96
0,171,433.755531743485,33629.47
0,172,98.6309401397635,39239.75
0,173,660.690208633855,41660.9
0,174,398.065775413572,37851.02
0,175,1062.84321982687,42069.83
0,176,1612.14400844853,46452.26
0,177,122.754041813952,53422.67
0,178,929.393850741583,58096.89
0,179,733.354378023027,65319.04
0,180,3875.29701038672,65790.81
0,181,220.531600636253,72766.9
0,182,3181.79885681528,73128.7
0,183,8959.71479060253,56633.65
0,184,199.720735,42312.28
0,185,292.805518000004,46818.33
0,186,1987.653852,54497.3
0,187,2224.514086,61617.07
0,188,770.584800150007,70045.08
0,189,253.205824939993,71784.78
0,190,876.684717629993,70524.35
0,191,282.605986010001,71837.67
0,192,1722.03692790999,72995.69
0,193,549.920386829996,69837.52
0,194,1459.3402329,64620.08
0,195,165.554944580004,59513.13
0,196,1216.29631401999,66203.5
0,197,169.342046459998,68394.33
0,198,3680.25620654,59445.79
0,199,2351.32544195,62105.47
0,200,60.9184128999977,63312.46
0,201,1200.70108676999,56429.27
0,202,1826.54855678,55702.9
0,203,1256.11753475,56460.38
0,204,1383.28252722,52155.28
0,205,2366.17187094,57983.32
0,206,9.84163597999861,61895.98
0,207,388.299046810009,56101.41
0,208,1157.69123585001,58051.61
0,209,213.288131929996,55112.05
0,210,114.371885539999,49338.4126
0,211,557.125747600006,49338.4126
0,212,2032.15,1399.08
0,213,1308.1,1585.04
0,214,4228.42,1487.3
0,215,7742.94,1693.47
0,216,3291.81,1754.75
0,217,1600.77,1777.84
0,218,2427.23,1807.28
0,219,5614.23,1969.91
0,220,4637.63,1931.14
0,221,4974.64,1956.14
0,222,295.08,1709.17
0,223,3771.31,1017.17
0,224,8342.4,851.35
0,225,4406.7,1206.2
0,226,185.79,1217.67
0,227,2648.86,1388.59
0,228,7772.74,1484.03
0,229,2837.87,1530.93
0,230,4943.07,1441.58
0,231,3465.58,1687.99
0,232,2369.36,1815.6
0,233,2656.58,1859.99
0,234,282.21,1740.53
0,235,3344.01,1526.57
0,236,6284.45,1631.15
0,237,2341.33,1550.05
0,238,113.39,1535.38
0,239,1632.07,1490.21
0,240,4945.98,1562.93
0,241,4444.16,1448.42
0,242,7371.52,1487.19
0,243,15207.14,1533.61
0,244,2950.33,1507.49
0,245,5075.62,1518.83
0,246,3999.51,1516.75
0,247,1835.61,1606.84
0,248,2620.89,1838.18
0,249,802.22,1721.8
0,250,4387.64,1733.17
0,251,1610.7603175508,2665.42
0,252,111.786047992613,2858.11
0,253,2532.72636439777,2768.32
0,254,1651.76267604589,2708.9
0,255,3416.44378618427,2324.29
0,256,922.65652794583,1299.22
0,257,1390.50006905669,886.04
0,258,735.456509120862,1223.52
0,259,1435.37615605017,1320.87
0,260,792.347299358786,1738.69
0,261,124.569078611191,1947.72
0,262,2557.05065407575,1924.8
0,263,2580.4664382645,1904.36
0,264,2293.89135661307,1582.43
0,265,613.85604310777,1672.15
0,266,1900.31962513302,1920.84
0,267,178.607989468306,1888.76
0,268,145.284508705794,1690.97
0,269,2095.97899486747,1548.48
0,270,401.40103329126,1203.03
0,271,488.944606485586,1254.97
0,272,850.338344343254,1280.74
0,273,2927.2782000827,1070.39
0,274,36.6236733131764,1020.08
0,275,279.697373847339,1005.61
0,276,3046.6726151437,1131.2
0,277,2616.90384965336,1008.97
0,278,1378.51765729646,944.7
0,279,1524.18383002011,917.88
0,280,1965.56857069496,951.18
0,281,21.508304954431,1145.85
0,282,2343.07843935236,1120.89
